Date,ENGI FP Equity,CS FP Equity
2020-07-23,11.105,18.166
2020-07-22,11.225,18.30
2020-07-21,11.31,18.50
2020-07-20,11.40,18.514
2020-07-17,11.145,18.37
2020-07-16,11.275,18.712
2020-07-15,11.175,18.614
2020-07-14,11.01,18.59
2020-07-13,11.115,18.468
2020-07-10,10.93,18.28
2020-07-09,10.80,17.916
2020-07-08,11.28,18.23
2020-07-07,11.305,18.478
2020-07-06,11.405,19.222
2020-07-03,11.385,18.904
2020-07-02,11.37,19.09
2020-07-01,10.925,18.518
2020-06-30,11.00,18.612
2020-06-29,11.19,18.62
2020-06-26,10.895,18.526
2020-06-25,10.96,18.57
2020-06-24,10.94,18.408
2020-06-23,11.215,18.82
2020-06-22,11.10,18.544
2020-06-19,11.25,18.48
2020-06-18,11.195,18.766
2020-06-17,11.25,18.904
2020-06-16,11.14,18.82
2020-06-15,10.81,18.30
2020-06-12,10.955,18.286
2020-06-11,10.775,18.17
2020-06-10,11.40,19.174
2020-06-09,11.86,19.406
2020-06-08,11.95,20.095
2020-06-05,11.69,20.04
2020-06-04,11.36,19.158
2020-06-03,11.61,19.046
2020-06-02,10.905,17.256
2020-06-01,10.65,16.50
2020-05-29,10.635,16.38
2020-05-28,10.855,16.934
2020-05-27,10.545,16.81
2020-05-26,10.245,15.826
2020-05-25,9.964,15.192
2020-05-22,9.822,15.33
2020-05-21,9.91,15.448
2020-05-20,9.784,15.58
2020-05-19,9.732,15.698
2020-05-18,9.87,15.52
2020-05-15,9.376,15.12
2020-05-14,9.246,15.17
2020-05-13,9.172,15.53
2020-05-12,9.34,15.894
2020-05-11,9.76,16.114
2020-05-08,9.798,16.226
2020-05-07,9.69,16.294
2020-05-06,9.578,15.954
2020-05-05,9.564,15.84
2020-05-04,9.444,15.418
2020-04-30,9.904,16.196
2020-04-29,9.99,16.59
2020-04-28,9.37,15.98
2020-04-27,9.314,15.172
2020-04-24,9.246,14.56
2020-04-23,9.202,14.76
2020-04-22,9.136,14.734
2020-04-21,9.22,14.682
2020-04-20,9.50,14.91
2020-04-17,9.492,14.924
2020-04-16,9.352,14.712
2020-04-15,9.334,14.922
2020-04-14,9.72,15.494
2020-04-09,9.886,15.53
2020-04-08,9.422,15.308
2020-04-07,9.358,15.372
2020-04-06,9.276,14.766
2020-04-03,8.698,13.964
2020-04-02,8.894,14.634
2020-04-01,8.976,14.734
2020-03-31,9.412,15.788
2020-03-30,9.45,15.346
2020-03-27,9.848,15.49
2020-03-26,10.60,16.356
2020-03-25,10.585,16.448
2020-03-24,10.39,15.81
2020-03-23,9.766,13.448
2020-03-20,10.405,13.72
2020-03-19,10.285,12.494
2020-03-18,10.30,12.698
2020-03-17,10.305,13.638
2020-03-16,9.978,13.444
2020-03-13,10.485,15.33
2020-03-12,10.54,14.986
2020-03-11,12.73,17.676
2020-03-10,13.01,17.728
2020-03-09,13.68,18.002
2020-03-06,14.945,20.00
2020-03-05,15.73,20.66
2020-03-04,15.93,21.155
2020-03-03,15.235,21.01
2020-03-02,15.135,20.725
2020-02-28,15.03,20.955
2020-02-27,16.005,21.855
2020-02-26,15.64,22.56
2020-02-25,15.545,22.81
2020-02-24,16.095,23.345
2020-02-21,16.595,24.13
2020-02-20,16.48,24.485
2020-02-19,16.645,25.365
2020-02-18,16.55,25.435
2020-02-17,16.325,25.50
2020-02-14,16.135,25.46
2020-02-13,15.91,25.27
2020-02-12,15.94,25.265
2020-02-11,15.915,25.16
2020-02-10,15.625,24.91
2020-02-07,15.64,24.81
2020-02-06,15.71,24.745
2020-02-05,15.535,24.71
2020-02-04,15.645,24.40
2020-02-03,15.63,24.07
2020-01-31,15.56,24.08
2020-01-30,15.63,24.235
2020-01-29,15.88,24.23
2020-01-28,15.725,24.165
2020-01-27,15.70,23.87
2020-01-24,15.71,24.31
2020-01-23,15.50,24.145
2020-01-22,15.295,24.39
2020-01-21,15.285,24.55
2020-01-20,15.30,24.475
2020-01-17,15.195,24.375
2020-01-16,14.98,24.20
2020-01-15,14.90,24.18
2020-01-14,14.81,24.685
2020-01-13,14.80,25.335
2020-01-10,14.755,25.355
2020-01-09,14.81,25.25
2020-01-08,14.87,25.28
2020-01-07,14.89,25.29
2020-01-06,14.705,25.135
2020-01-03,14.69,25.47
2020-01-02,14.695,25.46
2019-12-31,14.40,25.11
2019-12-30,14.515,25.095
2019-12-27,14.69,25.21
2019-12-24,14.62,25.26
2019-12-23,14.655,25.39
2019-12-20,14.75,25.405
2019-12-19,14.50,25.04
2019-12-18,14.485,25.09
2019-12-17,14.73,25.06
2019-12-16,14.645,24.96
2019-12-13,14.585,24.78
2019-12-12,14.50,24.76
2019-12-11,14.64,24.54
2019-12-10,14.415,24.63
2019-12-09,14.44,24.80
2019-12-06,14.60,24.85
2019-12-05,14.495,24.635
2019-12-04,14.40,24.535
2019-12-03,14.20,24.26
2019-12-02,14.06,24.415
2019-11-29,14.36,24.695
2019-11-28,14.34,24.835
2019-11-27,14.38,24.805
2019-11-26,14.26,24.92
2019-11-25,14.20,25.035
2019-11-22,14.04,25.02
2019-11-21,14.02,25.00
2019-11-20,14.17,25.005
2019-11-19,14.20,25.13
2019-11-18,14.34,25.15
2019-11-15,14.37,25.235
2019-11-14,14.41,25.21
2019-11-13,14.345,25.21
2019-11-12,14.25,25.31
2019-11-11,14.16,25.275
2019-11-08,14.185,25.38
2019-11-07,14.245,25.00
2019-11-06,14.905,24.31
2019-11-05,14.715,24.225
2019-11-04,14.89,24.08
2019-11-01,14.85,23.83
2019-10-31,14.995,23.685
2019-10-30,14.83,23.83
2019-10-29,14.80,24.15
2019-10-28,14.86,24.26
2019-10-25,14.925,24.305
2019-10-24,15.115,24.37
2019-10-23,14.97,24.135
2019-10-22,14.96,24.09
2019-10-21,14.77,24.11
2019-10-18,14.95,23.93
2019-10-17,14.88,23.835
2019-10-16,15.005,23.76
2019-10-15,15.095,23.905
2019-10-14,15.10,23.495
2019-10-11,15.03,23.64
2019-10-10,14.675,22.755
2019-10-09,14.535,22.45
2019-10-08,14.655,22.515
2019-10-07,14.84,22.74
2019-10-04,14.77,22.58
2019-10-03,14.545,22.46
2019-10-02,14.60,22.48
2019-10-01,15.065,23.065
2019-09-30,14.98,23.43
2019-09-27,14.625,23.15
2019-09-26,14.77,23.055
2019-09-25,14.50,22.985
2019-09-24,14.57,22.97
2019-09-23,14.34,23.155
2019-09-20,14.45,23.39
2019-09-19,14.27,22.905
2019-09-18,14.16,22.635
2019-09-17,13.95,22.55
2019-09-16,13.615,22.59
2019-09-13,13.67,22.735
2019-09-12,13.94,22.425
2019-09-11,13.595,22.455
2019-09-10,13.545,22.30
2019-09-09,13.385,21.965
2019-09-06,13.655,21.56
2019-09-05,13.755,21.405
2019-09-04,13.855,21.02
2019-09-03,13.84,20.81
2019-09-02,13.865,20.99
2019-08-30,13.825,20.87
2019-08-29,13.795,20.88
2019-08-28,13.65,20.78
2019-08-27,13.66,21.255
2019-08-26,13.50,21.295
2019-08-23,13.42,21.25
2019-08-22,13.445,21.58
2019-08-21,13.55,21.58
2019-08-20,13.49,21.485
2019-08-19,13.63,21.72
2019-08-16,13.465,21.525
2019-08-15,13.33,21.24
2019-08-14,13.32,21.305
2019-08-13,13.48,21.625
2019-08-12,13.305,21.60
2019-08-09,13.28,21.655
2019-08-08,13.43,21.86
2019-08-07,13.325,21.425
2019-08-06,13.26,21.615
2019-08-05,13.35,21.82
2019-08-02,13.665,22.30
2019-08-01,13.85,23.165
2019-07-31,13.92,22.90
2019-07-30,14.04,23.00
2019-07-29,14.315,23.50
2019-07-26,14.05,23.465
2019-07-25,13.95,23.54
2019-07-24,14.035,23.54
2019-07-23,13.965,23.675
2019-07-22,13.82,23.525
2019-07-19,13.75,23.58
2019-07-18,13.825,23.635
2019-07-17,13.80,23.795
2019-07-16,13.765,23.88
2019-07-15,13.87,23.685
2019-07-12,13.885,23.655
2019-07-11,13.82,23.575
2019-07-10,13.83,23.705
2019-07-09,13.925,23.745
2019-07-08,13.80,23.795
2019-07-05,13.765,23.79
2019-07-04,13.83,23.73
2019-07-03,13.895,23.68
2019-07-02,13.67,23.51
2019-07-01,13.44,23.24
2019-06-28,13.34,23.10
2019-06-27,13.15,23.00
2019-06-26,13.25,23.155
2019-06-25,13.365,23.12
2019-06-24,13.435,23.30
2019-06-21,13.50,23.255
2019-06-20,13.445,23.115
2019-06-19,13.50,23.18
2019-06-18,13.43,23.12
2019-06-17,12.825,22.925
2019-06-14,12.955,22.61
2019-06-13,12.81,22.685
2019-06-12,13.005,22.60
2019-06-11,13.07,22.655
2019-06-10,13.10,22.42
2019-06-07,13.215,22.40
2019-06-06,12.99,22.17
2019-06-05,12.945,22.20
2019-06-04,12.655,22.29
2019-06-03,12.515,21.80
2019-05-31,12.45,22.08
2019-05-30,12.50,22.17
2019-05-29,12.52,22.06
2019-05-28,12.70,22.195
2019-05-27,12.75,22.38
2019-05-24,12.62,22.305
2019-05-23,12.55,22.155
2019-05-22,12.82,22.435
2019-05-21,12.835,22.58
2019-05-20,13.555,22.415
2019-05-17,13.58,22.605
2019-05-16,13.82,22.61
2019-05-15,13.61,22.245
2019-05-14,13.44,22.15
2019-05-13,13.195,21.955
2019-05-10,13.12,22.10
2019-05-09,12.995,22.11
2019-05-08,13.135,22.345
2019-05-07,13.155,22.505
2019-05-06,13.165,22.815
2019-05-03,13.255,23.07
2019-05-02,13.21,22.63
2019-04-30,13.205,23.745
2019-04-29,13.025,23.68
2019-04-26,13.12,23.65
2019-04-25,13.00,23.70
2019-04-24,13.025,23.645
2019-04-23,13.265,23.72
2019-04-18,13.335,23.735
2019-04-17,13.30,23.70
2019-04-16,13.295,23.545
2019-04-15,13.315,23.45
